RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.26,6007,88
2,0,46970,Jon Rahm,68.82,4886,71
3,0,35450,Patrick Cantlay,68.83,4956,72
4,0,46717,Viktor Hovland,68.92,6065,88
4,0,28237,Rory McIlroy,68.92,4411,64
6,0,48081,Xander Schauffele,69.07,5595,81
7,0,55182,Tom Kim,69.17,6225,90
8,0,39977,Max Homa,69.20,5951,86
9,0,50525,Collin Morikawa,69.23,5608,81
10,0,47591,Eric Cole,69.26,8450,122
11,0,30911,Tommy Fleetwood,69.35,5132,74
11,0,27644,Brian Harman,69.35,6172,89
13,0,32102,Rickie Fowler,69.38,6660,96
14,0,51766,Wyndham Clark,69.40,7079,102
14,0,39971,Sungjae Im,69.40,7218,104
16,0,36799,Stephan Jaeger,69.44,8194,118
17,0,34363,Tyrrell Hatton,69.45,5417,78
18,0,34098,Russell Henley,69.46,5557,80
19,0,29725,Tony Finau,69.52,5840,84
20,0,47993,Denny McCarthy,69.57,6679,96
20,4,45242,Kevin Yu,69.57,4800,69
22,3,56630,Akshay Bhatia,69.58,5566,80
23,-2,45157,Cam Davis,69.60,6334,91
23,-2,34256,Andrew Putnam,69.60,7726,111
25,-2,28089,Jason Day,69.64,5571,80
26,6,54591,Ben Griffin,69.70,8015,115
27,-1,49771,J.T. Poston,69.71,6692,96
27,-1,22405,Justin Rose,69.71,4740,68
27,-1,39324,J.J. Spaun,69.71,6832,98
30,-1,35461,Beau Hossler,69.72,7669,110
30,-1,23108,Matt Kuchar,69.72,6066,87
32,-1,33948,Byeong Hun An,69.74,7323,105
32,8,30927,Brendon Todd,69.74,6974,100
34,-2,46414,Aaron Rai,69.76,7325,105
35,-1,33141,Keegan Bradley,69.80,5724,82
35,-1,52453,Nicolai Hojgaard,69.80,3211,46
37,-1,33399,Adam Hadwin,69.81,6143,88
37,25,24502,Adam Scott,69.81,4747,68
39,-2,39997,Corey Conners,69.82,5725,82
39,6,54783,Dylan Wu,69.82,7261,104
41,-3,22371,Aaron Baddeley,69.83,5307,76
41,-3,28775,Nate Lashley,69.83,7332,105
43,6,52374,Brandon Wu,69.84,7752,111
44,-3,25493,Nick Taylor,69.85,6496,93
45,-3,40115,Adam Svensson,69.86,8244,118
46,-3,52375,Doug Ghim,69.87,6358,91
47,6,25900,Lucas Glover,69.89,6989,100
47,-4,37275,Sam Ryder,69.89,7478,107
49,-4,35532,Tom Hoge,69.90,7270,104
49,-4,55789,Taylor Montgomery,69.90,6850,98
49,-4,51634,Sahith Theegala,69.90,7409,106
52,11,36801,Mark Hubbard,69.94,7973,114
52,-2,32839,Hideki Matsuyama,69.94,6085,87
52,-2,51890,Greyson Sigg,69.94,7064,101
55,1,57975,Harry Hall,69.95,7135,102
55,-3,37455,Si Woo Kim,69.95,6715,96
57,-4,40098,Matt Fitzpatrick,69.96,5107,73
57,-4,51070,Vincent Norrman,69.96,5947,85
59,-3,36699,Patrick Rodgers,69.97,7137,102
60,-2,34563,Chesson Hadley,69.98,6298,90
60,7,46340,Alex Smalley,69.98,7558,108
