RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.629,6007,32.329,88
2,0,28237,Rory McIlroy,68.777,4411,-9.244,64
3,0,46970,Jon Rahm,69.037,4886,15.615,71
4,0,46717,Viktor Hovland,69.123,6065,17.843,88
5,0,48081,Xander Schauffele,69.127,5595,4.323,81
6,0,35450,Patrick Cantlay,69.190,4956,25.696,72
7,0,30911,Tommy Fleetwood,69.248,5132,-7.649,74
8,0,50525,Collin Morikawa,69.429,5608,15.742,81
9,0,34363,Tyrrell Hatton,69.435,5417,-1.100,78
10,0,39977,Max Homa,69.516,5951,27.401,86
11,0,32102,Rickie Fowler,69.576,6660,19.289,96
12,0,51766,Wyndham Clark,69.642,7079,24.505,102
13,0,22405,Justin Rose,69.693,4740,-0.875,68
14,0,34098,Russell Henley,69.818,5557,28.451,80
15,0,47591,Eric Cole,69.832,8450,69.464,122
15,0,55182,Tom Kim,69.832,6225,59.837,90
17,0,39971,Sungjae Im,69.839,7218,45.261,104
18,0,47993,Denny McCarthy,69.891,6679,30.570,96
19,0,29725,Tony Finau,69.933,5840,34.407,84
20,0,27644,Brian Harman,69.967,6172,55.063,89
21,0,52453,Nicolai Hojgaard,69.994,3211,8.733,46
22,0,28089,Jason Day,70.018,5571,30.473,80
23,0,33141,Keegan Bradley,70.050,5724,20.127,82
24,0,40098,Matt Fitzpatrick,70.079,5107,8.783,73
25,1,34256,Andrew Putnam,70.118,7726,57.099,111
26,-1,33204,Shane Lowry,70.132,4367,-18.811,62
27,0,39997,Corey Conners,70.141,5725,26.522,82
28,0,34046,Jordan Spieth,70.150,5049,1.803,72
29,2,45157,Cam Davis,70.175,6334,51.911,91
30,2,37455,Si Woo Kim,70.177,6715,21.960,96
31,2,32839,Hideki Matsuyama,70.181,6085,20.766,87
32,2,24502,Adam Scott,70.203,4482,10.989,64
33,2,49771,J.T. Poston,70.207,6692,47.888,96
34,-5,36799,Stephan Jaeger,70.209,8194,90.718,118
35,-5,51634,Sahith Theegala,70.219,7409,34.265,106
36,0,47504,Sam Burns,70.233,5673,15.911,81
37,0,33948,Byeong Hun An,70.244,7323,52.578,105
38,0,25493,Nick Taylor,70.309,6496,42.725,93
39,0,36699,Patrick Rodgers,70.321,7137,35.723,102
40,8,23108,Matt Kuchar,70.354,6066,54.814,87
41,-1,54591,Ben Griffin,70.359,7743,66.848,111
42,-1,33399,Adam Hadwin,70.360,6143,48.655,88
43,1,30927,Brendon Todd,70.392,6705,52.614,96
44,-1,35461,Beau Hossler,70.398,7669,74.794,110
44,1,46414,Aaron Rai,70.398,7325,66.780,105
46,2,47347,Adam Schenk,70.422,8057,41.496,115
47,-5,30926,Chris Kirk,70.460,6161,39.505,88
48,3,34099,Harris English,70.461,6532,20.858,93
49,1,33653,Thomas Detry,70.492,6517,38.722,93
50,-3,39324,J.J. Spaun,70.500,6832,76.978,98
51,2,55789,Taylor Montgomery,70.503,6850,59.308,98
52,-7,46442,Maverick McNealy,70.505,4139,20.771,59
53,2,56630,Akshay Bhatia,70.506,5297,61.429,76
54,3,33448,Justin Thomas,70.520,5067,10.468,72
55,3,48117,Kurt Kitayama,70.534,5087,-8.525,72
56,3,31323,Gary Woodland,70.542,5867,-11.983,83
56,-4,57366,Cameron Young,70.542,5738,46.414,82
58,2,54783,Dylan Wu,70.550,6990,64.987,100
59,-3,40115,Adam Svensson,70.552,8244,81.134,118
60,2,49947,Taylor Moore,70.560,7103,23.527,101
61,2,35532,Tom Hoge,70.567,7270,68.998,104
62,-8,31646,Emiliano Grillo,70.579,7925,50.473,113
63,1,34255,Joseph Bramlett,70.580,5600,46.425,80
64,-3,36801,Mark Hubbard,70.588,7704,60.722,110
65,1,46340,Alex Smalley,70.596,7287,55.012,104
66,1,49960,Sepp Straka,70.597,6461,33.939,92
67,1,27349,Alex Noren,70.608,5915,16.032,84
68,-3,39546,Keith Mitchell,70.618,6457,39.892,92
69,0,54628,Lee Hodges,70.623,7525,31.665,107
70,1,37275,Sam Ryder,70.633,7478,79.726,107
71,2,50493,Justin Suh,70.634,7721,48.774,110
72,0,22371,Aaron Baddeley,70.642,5307,61.797,76
73,-3,32791,K.H. Lee,70.683,7216,64.382,103
74,2,45522,Christiaan Bezuidenhout,70.747,6242,54.441,89
75,-1,52374,Brandon Wu,70.753,7481,89.593,107
76,2,51070,Vincent Norrman,70.755,5947,67.196,85
77,0,47988,Nick Hardy,70.760,7715,68.654,110
78,1,39975,Michael Kim,70.764,6808,56.108,97
79,1,57362,Austin Eckroat,70.786,6587,66.874,94
80,3,55893,Sam Stevens,70.809,7313,51.178,104
81,4,50188,S.H. Kim,70.824,7798,63.444,111
82,-7,45242,Kevin Yu,70.825,4529,74.601,65
83,5,28775,Nate Lashley,70.833,7332,105.421,105
84,-3,57975,Harry Hall,70.836,6997,86.574,100
85,2,28252,Seamus Power,70.847,5764,45.417,82
86,-4,55708,Hayden Buckley,70.862,5764,46.678,82
87,2,58168,Davis Thompson,70.872,6447,73.201,92
88,-4,51890,Greyson Sigg,70.885,7064,95.390,101
89,-3,25900,Lucas Glover,70.890,6716,89.460,96
90,1,36871,Matt NeSmith,70.928,6687,51.195,95
91,2,52375,Doug Ghim,70.937,6220,93.420,89
92,6,35506,Mackenzie Hughes,70.939,5987,42.808,85
93,1,34076,Joel Dahmen,70.951,6492,35.501,92
94,6,34563,Chesson Hadley,70.966,6298,88.916,90
94,-4,33413,Ben Martin,70.966,6812,71.689,97
96,-1,51997,Andrew Novak,70.968,6111,63.189,87
97,0,48887,Matt Wallace,70.980,5942,20.308,84
98,-6,40058,Zac Blair,70.990,5337,58.242,76
99,0,29420,Billy Horschel,70.997,4395,6.813,62
100,1,56762,Will Gordon,71.006,7516,81.657,107
101,-5,46441,Robby Shelton,71.023,7171,73.379,102
102,0,47995,Davis Riley,71.061,6918,45.984,98
