RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,326.3,41771,128
2,0,51491,Brandon Matthews,321.3,37915,118
3,0,52372,Cameron Champ,318.8,47180,148
4,0,52453,Nicolai Hojgaard,317.7,29227,92
5,0,57366,Cameron Young,316.5,51902,164
6,0,48867,Matti Schmid,315.8,46105,146
7,0,33948,Byeong Hun An,315.6,66275,210
8,0,49453,Trevor Cone,314.8,49112,156
9,0,52411,Kyle Westmoreland,314.5,45918,146
10,0,51070,Vincent Norrman,314.2,53419,170
11,0,39546,Keith Mitchell,314.1,57791,184
12,0,46970,Jon Rahm,314.0,44589,142
13,0,31323,Gary Woodland,313.8,52084,166
14,0,51766,Wyndham Clark,313.5,63959,204
15,0,24502,Adam Scott,313.1,40083,128
16,2,27129,Luke List,312.5,57492,184
17,0,34255,Joseph Bramlett,312.4,49983,160
18,-2,51414,Brent Grant,312.3,48711,156
19,-1,48699,Callum Tarren,312.1,60553,194
20,1,56762,Will Gordon,311.8,66730,214
20,1,46601,Trey Mullinax,311.8,44281,142
22,-2,45242,Kevin Yu,311.5,40496,130
23,0,47504,Sam Burns,311.4,50444,162
24,1,39067,MJ Daffue,311.2,61618,198
25,-1,58168,Davis Thompson,311.1,57250,184
26,0,45157,Cam Davis,311.0,56601,182
26,0,55893,Sam Stevens,311.0,64678,208
28,-2,36724,Augusto Núñez,310.9,49125,158
29,0,54421,Garrick Higgo,310.8,64029,206
30,0,40250,Taylor Pendrith,310.6,57774,186
31,0,46046,Scottie Scheffler,310.3,54608,176
32,0,47988,Nick Hardy,309.8,68147,220
33,0,28420,Ryan Brehm,309.3,49480,160
34,-1,32333,Kevin Tway,309.1,58725,190
35,0,36699,Patrick Rodgers,308.8,62998,204
36,0,27554,Scott Harrington,308.7,46927,152
36,0,50188,S.H. Kim,308.7,68530,222
38,1,35450,Patrick Cantlay,308.6,44438,144
39,1,33448,Justin Thomas,308.5,44424,144
40,-4,25632,Jimmy Walker,308.4,50583,164
41,2,33653,Thomas Detry,308.1,57302,186
41,1,32102,Rickie Fowler,308.1,59157,192
41,0,55454,Carl Yuan,308.1,46825,152
44,0,46717,Viktor Hovland,307.6,54130,176
45,0,12716,Charley Hoffman,307.3,44871,146
46,0,49947,Taylor Moore,307.1,62034,202
47,0,34363,Tyrrell Hatton,306.5,47812,156
48,2,36799,Stephan Jaeger,306.4,72303,236
48,0,58967,Trevor Werbylo,306.4,48406,158
50,1,48117,Kurt Kitayama,306.2,44096,144
51,3,56630,Akshay Bhatia,306.1,46524,152
51,-3,20229,Stewart Cink,306.1,44074,144
51,1,47995,Davis Riley,306.1,60001,196
54,-1,47347,Adam Schenk,305.9,70357,230
55,0,33141,Keegan Bradley,305.6,50113,164
55,1,32662,Michael Gligic,305.6,42170,138
57,4,39058,Lucas Herbert,305.5,35434,116
58,-2,35461,Beau Hossler,305.3,67163,220
59,0,55708,Hayden Buckley,305.0,50014,164
59,2,39975,Michael Kim,305.0,59165,194
59,6,55789,Taylor Montgomery,305.0,59773,196
62,-2,51634,Sahith Theegala,304.9,64646,212
62,-4,40006,Erik van Rooyen,304.9,47572,156
64,-3,39977,Max Homa,304.8,52419,172
65,1,29289,S.Y. Noh,304.5,38371,126
66,-2,39335,Kevin Roy,304.4,42615,140
67,1,28089,Jason Day,304.2,48679,160
67,1,29725,Tony Finau,304.2,51107,168
67,0,48119,Ben Taylor,304.2,63281,208
70,0,40098,Matt Fitzpatrick,304.1,44394,146
70,0,48081,Xander Schauffele,304.1,49263,162
72,6,31577,Tano Goya,303.9,51047,168
73,0,33204,Shane Lowry,303.8,37669,124
74,-2,29970,Dylan Frittelli,303.6,44937,148
74,0,34046,Jordan Spieth,303.6,43715,144
76,0,35310,Lanto Griffin,303.5,30952,102
77,-1,46340,Alex Smalley,303.4,63107,208
78,-1,37338,Zecheng Dou,303.2,55183,182
79,1,32366,Kevin Chappell,302.9,30294,100
79,-4,35617,Martin Trainer,302.9,34536,114
81,-3,33597,Harry Higgs,302.7,47227,156
81,0,48887,Matt Wallace,302.7,50858,168
83,-1,30911,Tommy Fleetwood,302.3,44738,148
83,0,23320,Ryan Palmer,302.3,44137,146
85,-1,57362,Austin Eckroat,301.6,56695,188
86,-1,27349,Alex Noren,301.5,50646,168
86,-1,30692,Scott Stallings,301.5,49439,164
88,-1,31646,Emiliano Grillo,301.3,68105,226
89,-2,32757,Patton Kizzire,301.1,55411,184
90,5,32791,K.H. Lee,301.0,62012,206
90,7,47128,Richy Werenski,301.0,55978,186
92,-1,39997,Corey Conners,300.9,49346,164
92,-3,54591,Ben Griffin,300.9,66808,222
94,-4,51349,Nico Echavarria,300.8,42113,140
94,-2,51997,Andrew Novak,300.8,52333,174
96,-1,50095,Austin Smotherman,300.6,55305,184
97,-4,46442,Maverick McNealy,300.5,35457,118
98,-5,39954,Cody Gribble,300.3,37235,124
98,1,57975,Harry Hall,300.3,60051,200
98,1,54628,Lee Hodges,300.3,64262,214
101,-4,33408,Tyson Alexander,300.2,53439,178
101,0,29221,Webb Simpson,300.2,33024,110
103,2,35506,Mackenzie Hughes,300.0,51004,170
103,1,28252,Seamus Power,300.0,49202,164
105,-3,25686,Jason Dufner,299.9,52176,174
105,-3,34563,Chesson Hadley,299.9,53989,180
107,3,50493,Justin Suh,299.7,65933,220
108,-2,49960,Sepp Straka,299.5,55108,184
109,-2,39324,J.J. Spaun,299.4,58677,196
110,-2,39971,Sungjae Im,299.3,62251,208
111,-1,47591,Eric Cole,299.1,72978,244
111,-1,29420,Billy Horschel,299.1,37085,124
111,-1,49766,Hank Lebioda,299.1,34093,114
114,-5,45609,Tyler Duncan,299.0,53822,180
115,2,32448,James Hahn,298.9,47817,160
115,-1,34431,Robert Streb,298.9,43638,146
115,-1,54783,Dylan Wu,298.9,59788,200
118,-2,59018,Ryan Gerard,298.7,33458,112
119,-1,52375,Doug Ghim,298.2,53080,178
120,1,28775,Nate Lashley,297.8,62536,210
121,-2,27214,Kevin Streelman,297.7,55971,188
122,-2,55182,Tom Kim,297.6,53568,180
123,-2,34099,Harris English,297.4,55322,186
123,-2,36871,Matt NeSmith,297.4,56508,190
123,-2,49771,J.T. Poston,297.4,57102,192
126,1,49298,Kramer Hickok,297.3,52928,178
126,-1,37455,Si Woo Kim,297.3,57086,192
128,-2,32839,Hideki Matsuyama,297.2,51715,174
129,0,29908,C.T. Pan,297.1,30307,102
130,-2,27095,Nick Watney,296.9,41569,140
131,-1,40115,Adam Svensson,296.7,70015,236
131,2,52374,Brandon Wu,296.7,63498,214
133,-4,30926,Chris Kirk,296.5,52189,176
134,-2,51890,Greyson Sigg,296.3,59861,202
135,-2,50525,Collin Morikawa,296.2,47984,162
135,-5,52513,Carson Young,296.2,56282,190
137,-2,34076,Joel Dahmen,296.1,54486,184
138,-2,35532,Tom Hoge,295.9,61537,208
